fid,area_name_russian,Lukashenko,Kebich,Pazniak,Shushkevich,Dubko,Novikau,latitude_wgs84,longitude_wgs84,area_name_belarusian,non_lukashenko,ID_0,ISO,NAME_0,ID_1,NAME_1,ID_2,NAME_2,TYPE_2,ENGTYPE_2,NL_NAME_2,VARNAME_2,HubName,HubDist,fid_2,ID_,NAME1_,Control,AREA,PERIMETER
"35",Лельчицкий район,0.64,0.185,0.026,0.042,0.036,0.027,51.7842,28.3247,Лельчыцкі раён,0.36000001,"22",BLR,Belarus,"2",Homyel',"27",Lyel'chytsy,Raion,District,,Lelchitsu,"14",53.925476600769,,,,,,
"36",Мозырь,0.503,0.174,0.072,0.1,0.041,0.052,52.0435,29.2332,Мазыр,0.49700001,"22",BLR,Belarus,"2",Homyel',"28",Mazyr,Raion,District,,Mozyr,"11",110.975576481047,,,,,,
"37",Мозырский район,0.597,0.135,0.04,0.043,0.072,0.05,52.0483,29.2333,Мазырскі раён,0.403,"22",BLR,Belarus,"2",Homyel',"28",Mazyr,Raion,District,,Mozyr,"11",110.985454908002,,,,,,
"38",Наровлянский район,0.563,0.251,0.02,0.036,0.038,0.006,51.7983,29.5,Нараўлняскі раён,0.43700001,"22",BLR,Belarus,"2",Homyel',"29",Narowlya,Raion,District,,Narovlya,"14",131.473077439346,,,,,,
"39",Петриковский район,0.572,0.219,0.032,0.052,0.039,0.038,52.2484,28.5,Петрыкаўскі раён,0.428,"22",BLR,Belarus,"2",Homyel',"30",Pyetrykaw,Raion,District,,Petrikov,"101",65.5839548424362,,,,,,
"40",Рогачёв,0.434,0.188,0.097,0.09,0.069,0.061,53.0935,30.05,Рагачоў,0.56599998,"22",BLR,Belarus,"2",Homyel',"31",Rahachow,Raion,District,,Rogachev,"99",173.546010448846,,,,,,
"41",Рогачёвский район,0.553,0.188,0.036,0.032,0.037,0.099,53.0984,30.05,Рагачоўскі раён,0.447,"22",BLR,Belarus,"2",Homyel',"31",Rahachow,Raion,District,,Rogachev,"99",173.732493418296,,,,,,
"42",Речица,0.412,0.187,0.084,0.12,0.066,0.068,52.3659,30.3878,Рэчыца,0.588,"22",BLR,Belarus,"2",Homyel',"32",Rechytsa,Raion,District,,Rechitsa,"100",187.29343795581,,,,,,
"43",Речицкий район,0.451,0.183,0.055,0.061,0.104,0.088,52.3623,30.3947,Рэчыцкі раён,0.54900002,"22",BLR,Belarus,"2",Homyel',"32",Rechytsa,Raion,District,,Rechitsa,"100",187.80652385297,,,,,,
"44",Светлогорск,0.482,0.163,0.094,0.096,0.051,0.094,52.6269,29.7335,Светлагорск,0.51800001,"22",BLR,Belarus,"2",Homyel',"33",S'vyetlahorsk,Raion,District,,Svetlogorsk,"99",141.921116887346,,,,,,
"45",Светлогорский район,0.629,0.137,0.033,0.032,0.089,0.032,52.6317,29.7333,Светлагорскі раён,0.37099999,"22",BLR,Belarus,"2",Homyel',"33",S'vyetlahorsk,Raion,District,,Svetlogorsk,"99",141.938194558853,,,,,,
"46",Ветковский район,0.367,0.46,0.019,0.045,0.075,0.031,52.6817,31.2255,Веткаўскі раён,0.63300002,"22",BLR,Belarus,"2",Homyel',"34",Vyetka,Raion,District,,Vetka,"99",243.063402195583,,,,,,
"47",Ельский район,0.539,0.231,0.03,0.04,0.065,0.046,51.815,29.15,Ельскі раён,0.461,"22",BLR,Belarus,"2",Homyel',"35",Yel'sk,Raion,District,,Elsk,"14",107.398511716299,,,,,,
"48",Жлобин,0.326,0.263,0.092,0.109,0.044,0.066,52.8937,30.0332,Жлобін,0.67400002,"22",BLR,Belarus,"2",Homyel',"36",Zhlobin,Raion,District,,,"99",166.181511808646,,,,,,
"49",Жлобинский район,0.497,0.223,0.045,0.044,0.086,0.046,52.8984,30.0334,Жлобінскі раён,0.50300002,"22",BLR,Belarus,"2",Homyel',"36",Zhlobin,Raion,District,,,"99",166.311594241326,,,,,,
"50",Житковичский район,0.588,0.149,0.044,0.056,0.07,0.027,52.2156,27.8547,Жыткавіцкі раён,0.412,"22",BLR,Belarus,"2",Homyel',"37",Zhytkavichy,Raion,District,,Zhitkovichi,"131",19.8357417705147,,,,,,
"74",Осиповичи,0.37,0.297,0.08,0.084,0.044,0.085,53.3037,28.6589,Асіповічы,0.63,"22",BLR,Belarus,"4",Mahilyow,"55",Asipovichy,Raion,District,,Osipovichi,"97",107.505622192734,,,,,,
"75",Осиповичский район,0.483,0.209,0.056,0.046,0.096,0.066,53.2984,28.65,Асіповіцкі раён,0.51700002,"22",BLR,Belarus,"4",Mahilyow,"55",Asipovichy,Raion,District,,Osipovichi,"97",106.67193937918,,,,,,
"76",Бобруйск,0.496,0.254,0.081,0.053,0.038,0.038,53.1436,29.2332,Бабруйск,0.50400001,"22",BLR,Belarus,"4",Mahilyow,"56",Babruysk,Raion,District,,Bobruysk,"98",125.935994799564,,,,,,
"77",Бобруйский район,0.557,0.132,0.046,0.024,0.165,0.037,53.0984,29.2167,Бабруйскі раён,0.44299999,"22",BLR,Belarus,"4",Mahilyow,"56",Babruysk,Raion,District,,Bobruysk,"98",122.459823113173,,,,,,
"78",Белыничский район,0.793,0.072,0.027,0.019,0.029,0.03,53.994,29.7094,Бялыніцкі раён,0.207,"22",BLR,Belarus,"4",Mahilyow,"57",Bialynichy,Raion,District,,Belynichi,"388",151.456795764604,,,,,,
"79",Быховский район,0.596,0.249,0.021,0.024,0.039,0.016,53.5245,30.2358,Быхаўскі раён,0.40400001,"22",BLR,Belarus,"4",Mahilyow,"58",Bykhaw,Raion,District,,Byhov,"388",213.947059043817,,,,,,
"80",Чаусовский район,0.786,0.123,0.015,0.008,0.023,0.017,53.7984,30.9667,Чавускі раён,0.214,"22",BLR,Belarus,"4",Mahilyow,"59",Chavusy,Raion,District,,Chausu,"368",231.764060131407,,,,,,
"81",Чериковский район,0.651,0.162,0.03,0.024,0.076,0.023,53.5651,31.3667,Чэрыкаўскі раён,0.34900001,"22",BLR,Belarus,"4",Mahilyow,"60",Cherykaw,Raion,District,,Cherikov,"368",268.807116224351,,,,,,
"82",Дрибинский район,0.71,0.127,0.023,0.012,0.039,0.024,54.1179,31.093,Дрыбінскі раён,0.28999999,"22",BLR,Belarus,"4",Mahilyow,"61",Drybin,Raion,District,,Dribin,"368",215.842384554077,,,,,,
"83",Глуский район,0.436,0.257,0.066,0.037,0.123,0.047,52.8895,28.6887,Глускі раён,0.56400001,"22",BLR,Belarus,"4",Mahilyow,"62",Hlusk,Raion,District,,Glusk,"98",80.2106661974215,,,,,,
"84",Горки,0.69,0.105,0.086,0.034,0.038,0.018,54.2772,30.9832,Горкі,0.31,"22",BLR,Belarus,"4",Mahilyow,"63",Horki,Raion,District,,Gorki,"368",200.13326432192,,,,,,
"85",Горецкий район,0.752,0.117,0.024,0.017,0.039,0.017,54.2818,30.9833,Горацкі раён,0.248,"22",BLR,Belarus,"4",Mahilyow,"63",Horki,Raion,District,,Gorki,"368",199.870667244222,,,,,,
